seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
T16_D__k141_193430||full	1.000	0.427	1.000	dsDNAphage	14568	9	100.000	0.000
T72_S__k141_1093569||full	0.767	0.273	0.767	dsDNAphage	14568	0	36.800	0.000
T8_S__k141_1033332||full	0.993	0.627	0.993	dsDNAphage	14568	1	61.100	0.000
T52_D__k141_692094||full	1.000	0.460	1.000	dsDNAphage	14567	1	95.000	0.000
T72_S__k141_1091358||full	0.973	0.587	0.973	dsDNAphage	14567	0	19.200	0.000
T92_S__k141_1091163||full	1.000	0.700	1.000	dsDNAphage	14567	1	100.000	0.000
T16_D__k141_44926||full	1.000	0.587	1.000	dsDNAphage	14565	2	76.900	0.000
T40_S__k141_706466||full	0.973	0.627	0.973	dsDNAphage	14564	0	96.700	0.000
T84_S__k141_1148447||full	1.000	0.527	1.000	dsDNAphage	14563	3	96.600	0.000
T16_D__k141_1214731||full	0.860	0.400	0.860	dsDNAphage	14562	0	50.000	0.000
T112_S__k141_33292||full	0.993	0.027	0.993	dsDNAphage	14559	2	76.900	7.700
T16_D__k141_280522||full	1.000	0.633	1.000	dsDNAphage	14558	3	90.000	0.000
T16_D__k141_107690||full	0.967	0.147	0.967	dsDNAphage	14557	0	37.500	0.000
T16_D__k141_716201||full	0.987	0.073	0.987	dsDNAphage	14556	1	54.200	0.000
T8_S__k141_898748||full	0.987	0.753	0.987	dsDNAphage	14556	0	91.300	0.000
T4_D_k141_1069181||full	0.980	0.560	0.980	dsDNAphage	14554	0	32.400	0.000
T100_S__k141_579458||full	0.940	0.747	0.940	dsDNAphage	14554	0	100.000	0.000
T64_D__k141_868655||full	0.867	0.093	0.867	dsDNAphage	14554	0	50.000	6.700
T100_D__k141_267720||full	0.993	0.013	0.993	dsDNAphage	14552	3	73.300	6.700
T40_D__k141_1063352||full	0.973	0.813	0.973	dsDNAphage	14552	0	64.900	0.000
T52_S_k141_3057||full	0.993	0.407	0.993	dsDNAphage	14550	2	78.600	0.000
T88_S_k141_949198||full	0.980	0.473	0.980	dsDNAphage	14550	2	100.000	0.000
T88_S_k141_78819||full	1.000	0.400	1.000	dsDNAphage	14549	2	90.900	0.000
T112_D__k141_376903||full	1.000	0.540	1.000	dsDNAphage	14549	3	100.000	0.000
T16_S__k141_452962||full	1.000	0.700	1.000	dsDNAphage	14549	6	89.500	0.000
T48_S__k141_287402||full	0.933	0.313	0.933	dsDNAphage	14549	0	82.600	0.000
T76_D__k141_245643||full	1.000	0.253	1.000	dsDNAphage	14548	2	82.900	0.000
T16_D__k141_736034||full	1.000	0.293	1.000	dsDNAphage	14547	2	94.700	0.000
T76_S__k141_763215||full	1.000	0.427	1.000	dsDNAphage	14547	2	65.800	0.000
T16_D__k141_1199635||full	1.000	0.287	1.000	dsDNAphage	14546	1	91.700	0.000
T36_S__k141_797529||full	1.000	0.267	1.000	dsDNAphage	14546	4	91.300	0.000
T88_S_k141_873722||full	0.873	0.507	0.873	dsDNAphage	14544	0	83.300	0.000
T4_D_k141_475867||full	0.513	0.073	0.513	dsDNAphage	14543	0	68.400	15.800
T16_D__k141_715412||full	0.827	0.360	0.827	dsDNAphage	14543	0	47.400	0.000
T4_S__k141_444886||full	0.953	0.380	0.953	dsDNAphage	14542	0	93.800	0.000
T76_D__k141_476730||full	1.000	0.360	1.000	dsDNAphage	14541	3	81.800	0.000
T4_D_k141_143462||full	0.987	0.133	0.987	dsDNAphage	14540	1	57.900	0.000
T12_S__k141_131857||full	1.000	0.313	1.000	dsDNAphage	14539	1	95.700	0.000
T16_D__k141_1290778||full	0.600	0.007	0.600	dsDNAphage	14538	0	44.400	11.100
T36_S__k141_1163805||full	0.967	0.620	0.967	dsDNAphage	14538	0	84.200	0.000
T76_D__k141_699361||full	1.000	0.540	1.000	dsDNAphage	14538	3	92.900	0.000
T36_S__k141_859562||full	1.000	0.367	1.000	dsDNAphage	14536	6	100.000	0.000
T76_D__k141_722280||full	0.913	0.327	0.913	dsDNAphage	14535	0	33.300	0.000
T40_S__k141_988203||full	1.000	0.440	1.000	dsDNAphage	14534	7	100.000	0.000
T88_D__k141_1043205||full	1.000	0.927	1.000	dsDNAphage	14533	3	100.000	0.000
T104_S__k141_227041||full	0.993	0.507	0.993	dsDNAphage	14532	1	76.500	0.000
T4_D_k141_42877||full	1.000	0.740	1.000	dsDNAphage	14531	4	100.000	0.000
T64_S__k141_382565||full	1.000	0.907	1.000	dsDNAphage	14531	2	95.500	0.000
T52_S_k141_1037583||full	0.947	0.913	0.947	dsDNAphage	14529	0	73.900	0.000
T44_S__k141_265598||full	0.947	0.420	0.947	dsDNAphage	14529	0	88.900	0.000
T88_D__k141_199730||full	0.993	0.420	0.993	dsDNAphage	14529	4	66.700	0.000
T60_S__k141_252081||full	0.980	0.987	0.987	ssDNA	14528	0	56.700	0.000
T76_S__k141_900252||full	0.960	0.453	0.960	dsDNAphage	14527	0	95.800	0.000
T108_S__k141_913154||full	1.000	0.393	1.000	dsDNAphage	14526	2	95.700	0.000
T12_S__k141_108780||full	0.640	0.453	0.640	dsDNAphage	14524	0	33.300	0.000
T40_D__k141_517739||full	0.993	0.047	0.993	dsDNAphage	14524	1	54.500	0.000
T16_S__k141_560319||full	0.987	0.933	0.987	dsDNAphage	14523	1	95.700	0.000
T16_D__k141_1178101||full	1.000	0.740	1.000	dsDNAphage	14520	3	81.800	0.000
T8_S__k141_1143314||full	0.973	0.800	0.973	dsDNAphage	14520	0	100.000	0.000
T32_S__k141_1024543||full	0.827	0.327	0.827	dsDNAphage	14519	0	20.000	0.000
T112_D__k141_400303||full	0.933	0.667	0.933	dsDNAphage	14518	0	78.600	0.000
T4_D_k141_1139727||full	0.987	0.573	0.987	dsDNAphage	14516	1	100.000	0.000
T112_D__k141_368316||full	0.967	0.487	0.967	dsDNAphage	14516	0	71.400	0.000
T52_D__k141_19033||full	0.987	0.467	0.987	dsDNAphage	14516	0	96.200	0.000
T92_S__k141_176023||full	1.000	0.220	1.000	dsDNAphage	14516	5	94.400	0.000
T96_S__k141_147589||full	1.000	0.367	1.000	dsDNAphage	14513	3	82.400	0.000
T100_D__k141_195121||full	1.000	0.547	1.000	dsDNAphage	14512	3	93.800	0.000
T40_D__k141_1138713||full	0.993	0.213	0.993	dsDNAphage	14511	3	65.200	0.000
T76_D__k141_259679||full	0.993	0.487	0.993	dsDNAphage	14511	2	85.700	0.000
T100_D__k141_438476||full	0.993	0.587	0.993	dsDNAphage	14509	1	75.000	0.000
T12_S__k141_1342284||full	0.920	0.380	0.920	dsDNAphage	14509	0	100.000	0.000
T92_S__k141_879313||full	0.927	0.220	0.927	dsDNAphage	14509	0	88.200	0.000
T4_D_k141_442842||full	1.000	0.713	1.000	dsDNAphage	14507	2	100.000	0.000
T28_S__k141_1028412||full	1.000	0.387	1.000	dsDNAphage	14507	1	83.300	0.000
T100_D__k141_457412||full	0.980	0.473	0.980	dsDNAphage	14506	0	51.200	0.000
T40_S__k141_916093||full	0.893	0.260	0.893	dsDNAphage	14504	0	64.300	0.000
T4_D_k141_1325654||full	0.967	0.853	0.967	dsDNAphage	14503	0	91.700	0.000
T36_S__k141_1024204||full	1.000	0.393	1.000	dsDNAphage	14503	1	100.000	0.000
T40_D__k141_11315||full	0.993	0.487	0.993	dsDNAphage	14503	1	95.000	0.000
T40_D__k141_1096009||full	0.620	0.047	0.620	dsDNAphage	14503	0	76.500	5.900
T4_S__k141_94326||full	1.000	0.527	1.000	dsDNAphage	14502	3	100.000	0.000
T40_D__k141_457937||full	1.000	0.367	1.000	dsDNAphage	14501	3	86.700	0.000
T12_S__k141_1174577||full	1.000	0.507	1.000	dsDNAphage	14500	6	88.200	0.000
T56_S__k141_572251||full	1.000	0.833	1.000	dsDNAphage	14500	7	91.700	0.000
T4_D_k141_924364||full	1.000	0.827	1.000	dsDNAphage	14497	3	100.000	0.000
T16_D__k141_787535||full	0.927	0.613	0.927	dsDNAphage	14496	0	73.100	0.000
T36_S__k141_1205589||full	1.000	0.893	1.000	dsDNAphage	14496	3	93.800	0.000
T40_D__k141_42380||full	1.000	0.547	1.000	dsDNAphage	14496	5	93.300	0.000
T52_D__k141_132362||full	0.967	0.260	0.967	dsDNAphage	14493	2	66.700	8.300
T76_D__k141_77120||full	0.773	0.287	0.773	dsDNAphage	14491	0	87.000	0.000
T4_S__k141_760086||full	1.000	0.793	1.000	dsDNAphage	14488	3	100.000	0.000
T16_D__k141_1011376||full	1.000	0.820	1.000	dsDNAphage	14486	2	56.000	0.000
T88_D__k141_12113||full	0.867	0.433	0.867	dsDNAphage	14486	0	56.200	0.000
T12_S__k141_1211475||full	1.000	0.313	1.000	dsDNAphage	14484	1	78.600	0.000
T52_D__k141_782650||full	1.000	0.733	1.000	dsDNAphage	14484	2	76.200	0.000
T84_S__k141_520432||full	1.000	0.220	1.000	dsDNAphage	14484	3	58.600	0.000
T4_D_k141_330691||full	1.000	0.960	1.000	dsDNAphage	14481	6	100.000	0.000
T24_S__k141_1158087||full	0.820	0.013	0.820	dsDNAphage	14481	0	25.000	7.200
T40_D__k141_35569||full	1.000	0.393	1.000	dsDNAphage	14481	1	90.900	0.000
T40_D__k141_359863||full	1.000	0.700	1.000	dsDNAphage	14481	5	100.000	0.000
T100_D__k141_83098||full	1.000	0.413	1.000	dsDNAphage	14480	1	94.700	0.000
T100_S__k141_418850||full	0.953	0.340	0.953	dsDNAphage	14478	0	95.200	0.000
T64_D__k141_602719||full	0.993	0.607	0.993	dsDNAphage	14478	3	80.000	0.000
T68_S__k141_80941||full	1.000	0.553	1.000	dsDNAphage	14477	4	95.200	0.000
T52_S_k141_976538||full	0.840	0.080	0.840	dsDNAphage	14476	0	30.800	0.000
T88_S_k141_407172||full	1.000	0.727	1.000	dsDNAphage	14476	10	100.000	0.000
T88_S_k141_592969||full	1.000	0.887	1.000	dsDNAphage	14476	8	90.900	0.000
T104_S__k141_793570||full	0.960	0.473	0.960	dsDNAphage	14476	0	81.500	0.000
T12_S__k141_965859||full	1.000	0.433	1.000	dsDNAphage	14476	4	75.000	0.000
T88_S_k141_1019464||full	1.000	0.787	1.000	dsDNAphage	14472	1	81.800	0.000
T52_D__k141_180099||full	1.000	0.800	1.000	dsDNAphage	14471	5	100.000	0.000
T88_S_k141_833441||full	0.993	0.367	0.993	dsDNAphage	14470	1	82.600	0.000
T88_S_k141_42683||full	1.000	0.413	1.000	dsDNAphage	14469	6	84.200	0.000
T28_S__k141_445299||full	0.713	0.000	0.713	dsDNAphage	14469	0	54.200	8.300
T40_D__k141_907404||full	1.000	0.360	1.000	dsDNAphage	14469	1	85.700	0.000
T4_D_k141_39943||full	0.980	0.127	0.980	dsDNAphage	14468	1	25.000	0.000
T24_S__k141_301736||full	1.000	0.553	1.000	dsDNAphage	14467	1	90.900	0.000
T28_S__k141_91667||full	1.000	0.527	1.000	dsDNAphage	14466	1	100.000	0.000
T64_D__k141_531496||full	1.000	0.400	1.000	dsDNAphage	14466	1	95.700	0.000
T16_D__k141_173||full	0.927	0.447	0.927	dsDNAphage	14465	0	100.000	0.000
T112_D__k141_310936||full	1.000	0.620	1.000	dsDNAphage	14464	1	96.700	0.000
T8_S__k141_391981||full	1.000	0.160	1.000	dsDNAphage	14464	1	29.600	0.000
T16_S__k141_39738||full	0.873	0.607	0.873	dsDNAphage	14463	0	100.000	0.000
T52_S_k141_1185848||full	0.933	0.340	0.933	dsDNAphage	14461	0	100.000	0.000
T52_D__k141_452334||full	0.993	0.520	0.993	dsDNAphage	14461	0	92.900	0.000
T108_S__k141_65378||full	0.993	0.500	0.993	dsDNAphage	14460	0	92.300	0.000
T112_D__k141_626423||full	0.967	0.447	0.967	dsDNAphage	14459	0	75.000	0.000
T4_D_k141_317607||full	0.793	0.093	0.793	dsDNAphage	14457	0	22.200	0.000
T100_D__k141_135502||full	0.993	0.400	0.993	dsDNAphage	14456	1	94.700	0.000
T40_D__k141_310986||full	1.000	0.320	1.000	dsDNAphage	14456	2	69.200	0.000
T104_S__k141_53428||full	1.000	0.060	1.000	dsDNAphage	14455	1	48.600	2.900
T44_S__k141_247505||full	0.733	0.320	0.733	dsDNAphage	14454	0	63.200	0.000
T88_S_k141_469307||full	0.920	0.460	0.920	dsDNAphage	14453	0	100.000	0.000
T92_S__k141_723854||full	0.760	0.020	0.760	dsDNAphage	14453	0	70.000	5.000
T16_D__k141_998605||full	0.513	0.027	0.513	dsDNAphage	14451	0	78.600	7.100
T0_S__k141_186174||full	0.920	0.180	0.920	dsDNAphage	14450	0	40.900	0.000
T40_D__k141_985637||full	1.000	0.080	1.000	dsDNAphage	14448	1	57.900	0.000
T32_S__k141_605028||full	1.000	0.567	1.000	dsDNAphage	14445	1	100.000	0.000
T4_D_k141_1299292||full	1.000	0.673	1.000	dsDNAphage	14444	1	100.000	0.000
T4_D_k141_341438||full	0.860	0.487	0.860	dsDNAphage	14444	0	76.500	0.000
T36_S__k141_1073285||full	0.713	0.020	0.713	dsDNAphage	14442	0	52.200	8.700
T40_D__k141_36334||full	0.993	0.167	0.993	dsDNAphage	14441	0	28.600	0.000
T88_D__k141_479415||full	0.960	0.593	0.960	dsDNAphage	14439	1	100.000	0.000
T92_S__k141_498038||full	0.633	0.007	0.633	dsDNAphage	14439	0	57.900	10.500
T88_S_k141_94815||full	0.967	0.473	0.967	dsDNAphage	14438	0	76.900	0.000
T52_D__k141_594345||full	1.000	0.733	1.000	dsDNAphage	14437	1	86.400	0.000
T100_D__k141_37183||full	0.873	0.007	0.873	dsDNAphage	14433	0	47.600	4.800
T44_S__k141_105516||full	0.967	0.193	0.967	dsDNAphage	14433	1	66.700	0.000
T68_S__k141_782610||full	0.667	0.347	0.667	dsDNAphage	14433	0	86.700	0.000
T4_D_k141_339216||full	1.000	0.287	1.000	dsDNAphage	14431	2	94.100	0.000
T16_D__k141_1183594||full	0.980	0.620	0.980	dsDNAphage	14430	0	44.800	0.000
T8_S__k141_953625||full	0.993	0.153	0.993	dsDNAphage	14430	1	94.100	5.900
T28_S__k141_528176||full	0.967	0.473	0.967	dsDNAphage	14427	0	86.400	0.000
T52_D__k141_324713||full	0.940	0.160	0.940	dsDNAphage	14427	0	63.600	4.500
T40_D__k141_672888||full	0.913	0.360	0.913	dsDNAphage	14425	0	73.700	0.000
T76_D__k141_506601||full	1.000	0.733	1.000	dsDNAphage	14425	6	100.000	0.000
T16_D__k141_297907||full	1.000	0.740	1.000	dsDNAphage	14424	5	91.300	0.000
T16_D__k141_91928||full	1.000	0.947	1.000	dsDNAphage	14424	5	72.700	0.000
T36_S__k141_631446||full	1.000	0.653	1.000	dsDNAphage	14424	1	94.700	0.000
T40_D__k141_1098973||full	0.793	0.427	0.793	dsDNAphage	14423	0	90.900	0.000
T76_D__k141_39459||full	1.000	0.273	1.000	dsDNAphage	14423	1	60.900	0.000
T16_D__k141_115873||full	0.980	0.727	0.980	dsDNAphage	14422	1	62.500	0.000
T20_S__k141_434246||full	0.580	0.080	0.580	dsDNAphage	14421	0	56.000	0.000
T16_D__k141_478175||full_1	0.980	0.413	0.980	dsDNAphage	14419	1	64.000	0.000
T4_D_k141_902787||full	1.000	0.367	1.000	dsDNAphage	14418	4	92.900	0.000
T4_D_k141_459966||full	0.993	0.700	0.993	dsDNAphage	14418	0	91.700	0.000
T76_D__k141_643060||full	1.000	0.800	1.000	dsDNAphage	14418	2	100.000	0.000
T40_D__k141_200705||full	0.700	0.027	0.700	dsDNAphage	14416	0	68.200	9.100
T100_D__k141_91967||full	0.987	0.600	0.987	dsDNAphage	14415	1	87.500	0.000
T112_S__k141_426054||full	1.000	0.513	1.000	dsDNAphage	14414	4	100.000	0.000
T40_D__k141_938798||full	0.787	0.280	0.787	dsDNAphage	14411	0	100.000	0.000
T76_D__k141_762803||full	1.000	0.727	1.000	dsDNAphage	14407	5	100.000	0.000
T16_D__k141_582437||full	0.967	0.087	0.967	dsDNAphage	14406	0	51.500	3.000
T76_D__k141_343203||full	1.000	0.747	1.000	dsDNAphage	14406	3	89.500	0.000
T84_S__k141_992902||full	0.973	0.253	0.973	dsDNAphage	14404	0	57.900	0.000
T64_S__k141_367702||full	1.000	0.627	1.000	dsDNAphage	14402	3	92.900	0.000
T88_D__k141_694236||full	0.753	0.207	0.753	dsDNAphage	14402	0	71.400	0.000
T76_S__k141_825339||full	0.967	0.420	0.967	dsDNAphage	14401	0	62.100	0.000
T48_S__k141_1017988||full	1.000	0.273	1.000	dsDNAphage	14400	2	85.700	0.000
T84_S__k141_838588||full	1.000	0.700	1.000	dsDNAphage	14400	2	100.000	0.000
T16_D__k141_1261112||full	0.727	0.180	0.727	dsDNAphage	14399	0	25.000	0.000
T32_S__k141_368257||full	1.000	0.567	1.000	dsDNAphage	14398	1	100.000	0.000
T100_D__k141_881603||full	0.953	0.540	0.953	dsDNAphage	14397	0	86.700	0.000
T100_S__k141_573872||full	1.000	0.900	1.000	dsDNAphage	14397	7	90.900	0.000
T4_S__k141_222860||full	1.000	0.200	1.000	dsDNAphage	14397	1	84.200	0.000
T108_S__k141_480106||full	1.000	0.780	1.000	dsDNAphage	14396	4	92.900	0.000
T0_S__k141_1020452||full	0.780	0.027	0.780	dsDNAphage	14393	0	55.000	10.000
T40_D__k141_311307||full	1.000	0.833	1.000	dsDNAphage	14392	3	81.000	0.000
T88_S_k141_1018917||full	1.000	0.680	1.000	dsDNAphage	14389	2	85.700	0.000
T112_D__k141_66668||full	0.993	0.533	0.993	dsDNAphage	14388	1	73.000	0.000
T68_S__k141_871461||full	0.973	0.313	0.973	dsDNAphage	14388	0	59.000	0.000
T88_D__k141_780127||full	1.000	0.860	1.000	dsDNAphage	14388	5	93.800	0.000
T4_D_k141_175485||full	1.000	0.467	1.000	dsDNAphage	14387	2	96.000	0.000
T16_D__k141_1392719||full	0.953	0.340	0.953	dsDNAphage	14387	1	70.000	0.000
T40_D__k141_737810||full	1.000	0.353	1.000	dsDNAphage	14387	1	77.800	0.000
T8_S__k141_12681||full	0.927	0.793	0.927	dsDNAphage	14385	0	77.800	0.000
T112_D__k141_203904||full	1.000	0.447	1.000	dsDNAphage	14384	1	100.000	0.000
T32_S__k141_1050703||full	1.000	0.700	1.000	dsDNAphage	14384	4	100.000	0.000
T16_D__k141_304065||full_1	0.933	0.053	0.933	dsDNAphage	14384	0	32.000	4.000
T100_D__k141_872108||full	1.000	0.487	1.000	dsDNAphage	14381	5	100.000	0.000
T40_S__k141_882232||full	0.980	0.167	0.980	dsDNAphage	14379	0	52.200	0.000
T8_S__k141_251555||full	0.953	0.133	0.953	dsDNAphage	14378	0	35.900	2.600
T80_S__k141_26291||full	0.920	0.413	0.920	dsDNAphage	14377	0	92.000	0.000
T8_S__k141_72237||full	0.987	0.553	0.987	dsDNAphage	14377	2	66.700	0.000
T4_D_k141_1257715||full	1.000	0.767	1.000	dsDNAphage	14375	3	75.000	0.000
T16_D__k141_1298126||full	0.993	0.220	0.993	dsDNAphage	14375	1	81.800	0.000
T84_S__k141_493393||full	1.000	0.380	1.000	dsDNAphage	14371	1	100.000	0.000
T88_S_k141_75503||full	0.940	0.433	0.940	dsDNAphage	14370	0	100.000	0.000
T40_D__k141_899983||full	0.993	0.087	0.993	dsDNAphage	14370	0	35.300	2.900
T112_D__k141_660006||full	1.000	0.547	1.000	dsDNAphage	14368	2	100.000	0.000
T64_D__k141_563368||full	0.893	0.013	0.893	dsDNAphage	14368	1	47.600	23.800
T84_S__k141_1246722||full	0.980	0.327	0.980	dsDNAphage	14367	0	92.000	0.000
T16_D__k141_1125635||full	0.980	0.467	0.980	dsDNAphage	14365	5	75.000	0.000
T52_D__k141_651490||full	1.000	0.393	1.000	dsDNAphage	14364	4	55.600	0.000
T16_D__k141_648854||full	0.947	0.640	0.947	dsDNAphage	14363	0	71.400	0.000
T88_D__k141_342825||full	0.993	0.733	0.993	dsDNAphage	14363	2	93.300	0.000
T52_S_k141_167382||full	0.947	0.880	0.947	dsDNAphage	14362	0	66.700	0.000
T16_D__k141_515285||full	0.787	0.127	0.787	dsDNAphage	14362	0	40.000	0.000
T4_D_k141_955636||full	0.987	0.253	0.987	dsDNAphage	14358	2	75.000	0.000
T76_D__k141_970967||full	1.000	0.560	1.000	dsDNAphage	14358	3	89.500	0.000
T56_S__k141_839255||full	0.507	0.000	0.507	dsDNAphage	14357	0	63.200	21.100
T108_S__k141_795146||full	0.827	0.487	0.827	dsDNAphage	14355	0	72.200	0.000
T64_D__k141_298219||full	0.993	0.673	0.993	dsDNAphage	14355	4	88.900	0.000
T76_D__k141_199683||full	0.993	0.647	0.993	dsDNAphage	14353	5	100.000	0.000
T4_D_k141_1093158||full	1.000	0.800	1.000	dsDNAphage	14350	1	100.000	0.000
T4_D_k141_1258462||full	1.000	0.347	1.000	dsDNAphage	14349	3	82.400	0.000
T16_D__k141_88241||full	1.000	0.567	1.000	dsDNAphage	14349	4	93.800	0.000
T52_S_k141_792538||full_1	0.720	0.200	0.720	dsDNAphage	14347	0	77.800	0.000
T16_D__k141_782185||full	0.980	0.793	0.980	dsDNAphage	14347	2	60.000	0.000
T20_S__k141_1060474||full	0.940	0.680	0.940	dsDNAphage	14347	0	72.200	0.000
T40_D__k141_1149800||full	0.927	0.193	0.927	dsDNAphage	14347	0	20.800	0.000
T40_D__k141_772235||full	1.000	0.480	1.000	dsDNAphage	14347	1	92.300	0.000
T40_D__k141_93751||full	1.000	0.687	1.000	dsDNAphage	14347	2	69.200	0.000
T8_S__k141_1505048||full	0.867	0.087	0.867	dsDNAphage	14347	0	70.000	5.000
T76_D__k141_32578||full	1.000	0.487	1.000	dsDNAphage	14346	5	100.000	0.000
T16_D__k141_738998||full	1.000	0.893	1.000	dsDNAphage	14345	1	77.800	0.000
T52_D__k141_234250||full	0.927	0.440	0.927	dsDNAphage	14344	0	85.300	0.000
T88_D__k141_73124||full	0.987	0.240	0.987	dsDNAphage	14343	2	66.700	0.000
T52_S_k141_163037||full	0.993	0.900	0.993	dsDNAphage	14340	1	100.000	0.000
T112_D__k141_456016||full	0.667	0.300	0.667	dsDNAphage	14340	0	56.200	0.000
T16_D__k141_239483||full	1.000	0.453	1.000	dsDNAphage	14340	4	86.200	0.000
T52_D__k141_831328||full	0.993	0.560	0.993	dsDNAphage	14340	2	52.900	0.000
T4_D_k141_38485||full	0.993	0.040	0.993	dsDNAphage	14339	2	63.600	4.500
T88_S_k141_395466||full	1.000	0.947	1.000	dsDNAphage	14338	1	100.000	0.000
T64_S__k141_791067||full	0.893	0.527	0.893	dsDNAphage	14338	0	80.000	0.000
T16_S__k141_464960||full	0.933	0.700	0.933	dsDNAphage	14337	0	100.000	0.000
T24_S__k141_542148||full	1.000	0.293	1.000	dsDNAphage	14337	2	63.000	0.000
T36_S__k141_806681||full	0.927	0.427	0.927	dsDNAphage	14337	0	36.800	0.000
T40_D__k141_285143||full	1.000	0.327	1.000	dsDNAphage	14336	1	62.500	0.000
T12_S__k141_1260523||full	1.000	0.647	1.000	dsDNAphage	14335	1	88.900	0.000
T52_D__k141_427151||full	0.987	0.813	0.987	dsDNAphage	14334	0	63.900	0.000
T88_S_k141_858155||full	0.827	0.273	0.827	dsDNAphage	14330	0	68.800	0.000
T16_D__k141_436388||full	0.980	0.080	0.980	dsDNAphage	14330	0	48.000	4.000
T52_S_k141_1058610||full	0.867	0.313	0.867	dsDNAphage	14329	0	60.000	0.000
T24_S__k141_760974||full	0.993	0.407	0.993	dsDNAphage	14329	1	100.000	0.000
T88_S_k141_98874||full	1.000	0.513	1.000	dsDNAphage	14328	5	100.000	0.000
T100_D__k141_90837||full	0.987	0.773	0.987	dsDNAphage	14324	3	71.400	0.000
T112_S__k141_639318||full	0.953	0.467	0.953	dsDNAphage	14324	0	92.300	0.000
T40_S__k141_1410||full	1.000	0.527	1.000	dsDNAphage	14324	4	100.000	0.000
T40_D__k141_63993||full	0.680	0.000	0.680	dsDNAphage	14322	0	45.000	5.000
T4_D_k141_1200021||full	1.000	0.733	1.000	dsDNAphage	14321	5	85.700	0.000
T20_S__k141_1278186||full	1.000	0.033	1.000	dsDNAphage	14321	1	59.300	11.100
T88_S_k141_94912||full	0.993	0.253	0.993	dsDNAphage	14320	0	84.600	0.000
T64_D__k141_619805||full	0.993	0.833	0.993	dsDNAphage	14319	0	95.200	0.000
T4_D_k141_955157||full	0.887	0.273	0.887	dsDNAphage	14317	0	85.700	0.000
T40_D__k141_487134||full	1.000	0.500	1.000	dsDNAphage	14317	4	100.000	0.000
T52_D__k141_294698||full	1.000	0.333	1.000	dsDNAphage	14317	3	85.700	0.000
T64_D__k141_11476||full	1.000	0.233	1.000	dsDNAphage	14316	2	55.600	0.000
T16_D__k141_388466||full	1.000	0.367	1.000	dsDNAphage	14313	1	50.000	0.000
T16_S__k141_693597||full	0.853	0.400	0.853	dsDNAphage	14313	0	84.600	0.000
T40_S__k141_28419||full	1.000	0.813	1.000	dsDNAphage	14313	3	91.700	0.000
T92_S__k141_1133977||full	0.780	0.080	0.780	dsDNAphage	14313	0	66.700	5.600
T24_S__k141_374935||full	0.927	0.307	0.927	dsDNAphage	14312	0	94.400	0.000
T40_D__k141_920707||full	0.907	0.293	0.907	dsDNAphage	14312	0	85.700	0.000
T4_D_k141_850153||full	0.700	0.067	0.700	dsDNAphage	14311	0	72.200	5.600
T40_D__k141_143801||full	0.993	0.647	0.993	dsDNAphage	14311	5	94.100	0.000
T80_S__k141_1149874||full	1.000	0.367	1.000	dsDNAphage	14311	2	64.300	0.000
T16_D__k141_91596||full	0.813	0.947	0.947	ssDNA	14310	0	100.000	0.000
T40_D__k141_954536||full	0.907	0.007	0.907	dsDNAphage	14310	1	60.000	20.000
T4_S__k141_2036||full	1.000	0.753	1.000	dsDNAphage	14310	4	100.000	0.000
T60_S__k141_1069076||full	0.987	0.340	0.987	dsDNAphage	14310	1	92.300	0.000
T76_D__k141_307287||full	0.553	0.080	0.553	dsDNAphage	14310	0	14.300	0.000
T28_S__k141_837597||full	0.720	0.687	0.720	dsDNAphage	14309	0	93.800	0.000
T40_D__k141_491849||full	1.000	0.567	1.000	dsDNAphage	14308	2	100.000	0.000
T100_D__k141_536701||full	0.987	0.880	0.987	dsDNAphage	14307	0	75.900	0.000
T16_D__k141_387886||full	1.000	0.720	1.000	dsDNAphage	14307	3	87.500	0.000
T76_D__k141_700194||full	1.000	0.327	1.000	dsDNAphage	14305	2	73.300	0.000
T16_D__k141_1199274||full	0.940	0.793	0.940	dsDNAphage	14304	0	87.500	0.000
T100_D__k141_745569||full	0.993	0.440	0.993	dsDNAphage	14301	1	72.000	0.000
T12_S__k141_1333100||full	0.993	0.407	0.993	dsDNAphage	14299	4	80.000	0.000
T24_S__k141_1138738||full	1.000	0.040	1.000	dsDNAphage	14298	4	45.200	3.200
T4_D_k141_719471||full	1.000	0.807	1.000	dsDNAphage	14297	4	100.000	0.000
T16_D__k141_58635||full	1.000	0.233	1.000	dsDNAphage	14297	1	76.900	0.000
T88_D__k141_344133||full	0.807	0.140	0.807	dsDNAphage	14296	0	94.700	5.300
T24_S__k141_1145227||full	0.880	0.160	0.880	dsDNAphage	14295	0	65.000	5.000
T16_D__k141_1038636||full	1.000	0.847	1.000	dsDNAphage	14294	9	100.000	0.000
T76_D__k141_304070||full	0.933	0.427	0.933	dsDNAphage	14294	0	81.200	0.000
T40_D__k141_567588||full	0.993	0.420	0.993	dsDNAphage	14291	1	40.000	0.000
T4_D_k141_903715||full	0.967	0.487	0.967	dsDNAphage	14290	0	77.800	0.000
T64_S__k141_418154||full	1.000	0.413	1.000	dsDNAphage	14290	3	100.000	0.000
T16_D__k141_1242743||full	0.960	0.533	0.960	dsDNAphage	14289	0	60.500	0.000
T16_D__k141_299389||full	1.000	0.787	1.000	dsDNAphage	14288	1	92.300	0.000
